John Schwartz, 93430
Adam Liptak , 78885
Adam Davidson, 61930
The Editorial Board, 54905
Gail Collins, 53665
Adam Liptak, 49030
Christine Porath, 48565
Tony Schwartz , 48565
David Brooks, 41690
Paul Krugman, 41285
Maria Konnikova, 28320
Laurence H. Tribe, 25380
Henry Petroski, 24790
Henry M. Paulson Jr., 24210
Pauline W. Chen, 22170
M.D., 22170
Shaila Dewan, 21125
Jan Hoffman, 17805
Frances Robles, 17775
Campbell Robertson , 17775
Jim Rutenberg, 17290
Timothy Egan, 16540
Motoko Rich, 15615
Alan Flippen, 15345
Fernanda Santos, 15195
Jess Bidgood , 14545
Judith Newman, 14480
Sam Borden, 12970
Monica Davey, 12390
Steven Erlanger, 11871
Jonathan Weisman, 11640
Josh Barro, 11170
David Firestone, 11075
Louie Lazar, 10840
David M. Herszenhorn, 9795
Andrew Higgins , 9795
Annie Lowrey, 9680
Catherine Saint Louis, 8470
Gretchen Reynolds, 8295
Matthew Goldstein, 8205
John Coates, 7725
Kevin Carey, 7505
Emmarie Huetteman, 7170
Joseph Luzzi, 7035
Simon Winder, 6355
Neal K. Katyal, 5810
Robert F. Worth, 5785
Khaled Al-Qazzaz, 5290
Sam Sifton, 5020
Elizabeth A. Harris , 4970
Steven Greenhouse, 4970
Teresa Tritch, 4715
Joseph E. Stiglitz, 4180
Joe Nocera, 4065
Margaret Sullivan, 3885
N. R. Kleinfield, 3065
Anahad O'Connor, 2270
Anna North, 2130
A. O. Scott, 2080
James B. Stewart, 1990
Paul Vitello, 1900
Neil Irwin, 1340
Ben Mullinkosson, 1280
Kristelle Laroche , 1280
Susan Gubar, 1230
Penelope Green, 1060
Lizzy Goodman, 935
Mike Isaac, 925
Christopher Clarey, 735
Kim Tingley, 715
Nick Bilton , 625
Michael Tortorello, 530
Andrew W. Lehren, 430
Sharon Lafraniere , 430
Farhad Manjoo, 365
Nicholas Bakalar, 345
Michael Beschloss, 295
Interview By Amy Chozick, 260
Damon Darlin, 255
Tony Schwartz, 200
Ligaya Mishan, 195
Ron Lieber, 185
Christopher Clarey , 180
Andrew Das, 180
Nick Wingfield, 180
Mark Scott, 130
Chuck Klosterman, 110
Jennifer Schuessler, 105
Martha Rose Shulman, 75
Terrence Lavin, 50
David Leonhardt, 30
David Waldstein, 25
Laurie Goodstein, 0
Stephanie Clifford, 0
Fergus M. Bordewich, 0
Susan Cheever, 0
Tudor Van Hampton, 0
Sally Mcgrane, 0
Roberta Smith, 0
Suadad Al-Salhy, 0
Charles M. Blow, 132050
The Editorial Board, 96590
John Schwartz, 93430
Adam Liptak , 89805
Gail Collins, 87570
Adam Liptak, 71175
Sam Borden, 67390
Laurie Goodstein, 64775
Jonathan Weisman, 64635
Paul Krugman, 64480
Adam Davidson, 61930
Christine Porath, 48565
Tony Schwartz , 48565
Timothy Egan, 45425
David Brooks, 41690
Matt Flegenheimer, 29050
William K. Rashbaum , 29050
Kate Zernike, 29050
Enedict Carey, 28725
Maria Konnikova, 28320
Nicholas Kristof, 28320
Michael R. Gordon, 27570
Enjamin Weiser, 25770
Dionne Searcey, 25490
Laurence H. Tribe, 25380
Henry Petroski, 24790
Henry M. Paulson Jr., 24210
T. M. Luhrmann, 22925
Pauline W. Chen, 22170
M.D., 22170
N. Gregory Mankiw, 21305
Enjamin Mueller, 21255
Shaila Dewan, 21125
Alissa J. Rubin , 20540
Steve Lohr, 19860
Ross Douthat, 18100
Jan Hoffman, 17905
Frances Robles, 17775
Campbell Robertson , 17775
Jack Healy, 17710
David Leonhardt, 17360
Jim Rutenberg, 17290
Neil Irwin, 16485
Julia Moskin, 15960
Motoko Rich, 15816
Alan Flippen, 15245
Fernanda Santos, 15195
Jess Bidgood , 14545
Judith Newman, 14480
Andrew Pollack, 14135
Michael R. Gordon , 13445
Eric Schmitt, 13445
Helene Cooper, 13325
Thomas Erdbrink, 12455
Monica Davey, 12390
Jon Mooallem, 11870
Steven Erlanger, 11670
Thomas L. Friedman, 11215
Josh Barro, 11170
David Firestone, 11075
Tony Horwitz, 10930
Emily Steel, 10920
Louie Lazar, 10840
Alissa J. Rubin, 10455
Rod Nordland , 10455
