June 28th 2014
John Schwartz,93430,2,1148,15242
Adam Liptak ,78885,1,1021,12714
Adam Davidson,61930,1,1273,8567
The Editorial Board,54905,6,841,8458
Gail Collins,53665,1,439,9416
Adam Liptak,49030,2,922,7040
Christine Porath,48565,1,410,8483
Tony Schwartz ,48565,1,410,8483
David Brooks,41690,2,477,6907
Paul Krugman,41285,1,515,6712
Maria Konnikova,28320,1,422,4398
Laurence H. Tribe,25380,1,317,4125
Henry Petroski,24790,1,297,4067
Henry M. Paulson Jr.,24210,1,268,4038
Pauline W. Chen,22170,1,407,3213
M.D.,22170,1,407,3213
Shaila Dewan,21125,1,291,3352
Jan Hoffman,17805,1,288,2697
Frances Robles,17775,2,278,2721
Campbell Robertson ,17775,1,278,2721
Jim Rutenberg,17290,1,212,2822
Timothy Egan,16540,1,224,2636
Motoko Rich,15615,1,293,2244
Alan Flippen,15345,2,58,2875
Fernanda Santos,15195,2,279,2202
Jess Bidgood ,14545,1,127,2528
Judith Newman,14480,1,215,2251
Sam Borden,12970,2,293,1715
Monica Davey,12390,1,280,1638
Steven Erlanger,11871,2,189,1767
Jonathan Weisman,11640,1,16,2280
Josh Barro,11170,1,140,1814
David Firestone,11075,1,150,1765
Louie Lazar,10840,1,125,1793
David M. Herszenhorn,9795,2,241,1236
Andrew Higgins ,9795,1,241,1236
Annie Lowrey,9680,1,156,1468
Catherine Saint Louis,8470,1,172,1178
Gretchen Reynolds,8295,1,159,1182
Matthew Goldstein,8205,1,53,1482
John Coates,7725,1,90,1275
Kevin Carey,7505,1,134,1099
Emmarie Huetteman,7170,1,41,1311
Joseph Luzzi,7035,1,137,996
Simon Winder,6355,1,99,974
Neal K. Katyal,5810,1,93,883
Robert F. Worth,5785,1,117,806
Khaled Al-Qazzaz,5290,1,137,647
Sam Sifton,5020,2,132,608
Elizabeth A. Harris ,4970,1,43,865
Steven Greenhouse,4970,1,43,865
Teresa Tritch,4715,1,92,667
Joseph E. Stiglitz,4180,1,78,602
Joe Nocera,4065,1,87,552
Margaret Sullivan,3885,1,63,588
N. R. Kleinfield,3065,1,63,424
Anahad O'Connor,2270,2,41,331
Anna North,2130,3,32,330
A. O. Scott,2080,3,51,263
James B. Stewart,1990,1,27,317
